name,ex_showroom_price,year,owner,km_driven,selling_price
Yamaha Fazer FI V 2.0 [2016-2018],89643,2015,1st owner,23000,65000
Honda CB Twister,53857,2010,1st owner,60000,18000
Honda CB Hornet 160R,87719,2018,1st owner,17000,78500
Bajaj Discover 125,60122,2016,1st owner,42000,50000
Yamaha FZ16,78712,2015,1st owner,32000,35000
Honda Navi,47255,2016,2nd owner,10000,28000
Bajaj Avenger Street 220,95955,2018,1st owner,21178,80000
Suzuki Access 125 [2007-2016],58314,2012,1st owner,55000,25000
Yamaha YZF R15 S,117926,2010,2nd owner,45000,40000
Yamaha FZ25,132680,2018,1st owner,39000,120000
Honda Navi [2016-2017],44389,2016,1st owner,17450,26000
Honda Activa i,53900,2013,2nd owner,20696,32000
Honda Dream Yuga,56147,2012,1st owner,35000,25000
Honda Navi [2016-2017],44389,2017,1st owner,24000,42000
Yamaha Fazer [2009-2016],84751,2013,3rd owner,35000,40000
Hero Glamour 125,61600,2017,1st owner,2500,55000
Yamaha FZ S [2012-2016],79432,2013,1st owner,75000,38000
Hero Xtreme Sports,78350,2016,2nd owner,50000,43000
Honda CB Shine SP,71049,2019,1st owner,10000,62000
Hero Glamour 125,61600,2018,1st owner,21000,45000
Honda CBR-250R,202310,2016,1st owner,16000,120000
Hero Glamour FI,71150,2018,1st owner,20000,50000
Hero Passion XPro,56750,2012,1st owner,81000,28000
Hero Achiever 150,69750,2016,1st owner,55000,29900
Bajaj Discover 125,60122,2011,1st owner,57000,25000
Yamaha FZ16,78712,2009,2nd owner,26000,30000
Yamaha FZ16,78712,2012,2nd owner,29000,35000
Bajaj Discover 100,42859,2010,1st owner,43000,25000
Honda CB Trigger,73413,2015,1st owner,40000,30000
Hero Splendor PRO,49900,2015,2nd owner,24000,35000
Bajaj Discover 125,57549,2013,1st owner,55000,25000
Hero Splendor PRO,51994,2015,2nd owner,24000,35000
Hero Xtreme Sports,80350,2014,1st owner,80000,50000
Honda Activa 3G,54605,2015,1st owner,39000,30000
Yamaha FZ16,78712,2016,1st owner,20000,48000
Honda CB Hornet 160R,88161,2016,1st owner,30000,65000
Hero Hunk,78513,2014,1st owner,41000,45000
Suzuki Let''s,50098,2014,1st owner,8000,34000
Mahindra Mojo XT300,195500,2017,1st owner,1933,165000
Bajaj Pulsar AS200,92074,2015,1st owner,15856,65000
Honda CB Unicorn 150,74295,2014,1st owner,32000,50000
Honda CB Twister,53857,2013,1st owner,9000,30000
Hero Splendor PRO,49642,2015,1st owner,38000,28000
Honda Activa i [2016-2017],51112,2015,2nd owner,20000,30000
TVS Scooty Zest 110,53751,2017,1st owner,9432,30000
Suzuki Access 125 [2007-2016],58314,2010,2nd owner,43000,22000
Honda Activa [2000-2015],50267,2012,1st owner,500000,22989
Honda Activa 125 [2016-2017],61653,2016,1st owner,30514,42000
Suzuki GS150R,70851,2010,1st owner,130000,30000
Honda Activa 4G,53079,2018,1st owner,25000,45000
Bajaj Discover 100,42859,2012,2nd owner,35000,24999
Royal Enfield Classic Desert Storm,181445,2017,1st owner,16500,150000
Bajaj V15,65626,2016,1st owner,35000,42000
Yamaha FZ S V 2.0,84042,2015,1st owner,20000,50000
Yamaha FZ25,132680,2017,1st owner,9000,120000
Bajaj Discover 125 ST,58438,2013,1st owner,38000,17500
Honda Aviator,61118,2018,1st owner,6465,57000
Hero Xtreme [2013-2014],75936,2013,1st owner,24000,25000
UM Renegade Commando,180525,2018,1st owner,7000,160000
Royal Enfield Classic Gunmetal Grey,148114,2018,1st owner,6100,135000
Honda CB Hornet 160R,87543,2017,1st owner,14000,55000
Bajaj Discover 100,42859,2012,1st owner,85000,20000
Honda Activa 5G,57557,2019,1st owner,10000,55000
Bajaj Avenger Street 150 [2018],80435,2016,1st owner,40000,50000
Honda Activa 3G,54605,2015,1st owner,3000,40000
Bajaj Pulsar 180,85011,2008,1st owner,55000,15000
Harley-Davidson Street Bob,1278000,2013,2nd owner,12000,750000
KTM 390 Duke ABS [2013-2016],202127,2015,1st owner,50000,130000
Honda CB Hornet 160R,88161,2016,1st owner,25000,54786
Hero Karizma 2014,86744,2013,1st owner,26000,35000
Hero Glamour 125,61600,2017,1st owner,18000,45000
Royal Enfield Classic 500,156304,2013,1st owner,18000,100000
Hero Hunk,78513,2010,1st owner,35000,20000
Suzuki Gixxer [2014-2018],84246,2016,1st owner,16000,60000
Hero Xtreme Sports,78350,2014,1st owner,99000,22000
Honda Activa [2000-2015],50267,2014,1st owner,52000,30000
Bajaj Discover 125,60122,2013,1st owner,45000,28000
Yamaha Saluto RX,49521,2017,1st owner,27000,40000
Royal Enfield Classic Desert Storm,181445,2012,1st owner,15000,100000
Honda CB Hornet 160R,88161,2016,2nd owner,25000,48000
Bajaj Pulsar 135 LS,64589,2010,2nd owner,50000,20000
Honda Navi [2016-2017],44389,2016,1st owner,17450,23000
Bajaj Discover 125,57549,2011,1st owner,32000,15000
Yamaha SZ RR V 2.0,69983,2015,1st owner,38000,35000
Bajaj Discover 150,54299,2014,2nd owner,71000,25000
Vespa VX 125,72303,2013,2nd owner,50000,45000
Yamaha SZ X,65800,2012,2nd owner,30000,25000
Honda CBF Stunner,58757,2013,1st owner,15888,35000
Bajaj Discover 100 T,47032,2013,1st owner,26000,25000
Honda Activa [2000-2015],50267,2014,1st owner,41000,25000
Honda Activa 3G,54605,2016,1st owner,6000,47999
Bajaj Pulsar 180,85011,2007,1st owner,80000,25000
Honda CB Unicorn 150,74295,2007,1st owner,46000,50000
Yamaha YZF R15 [2011-2018],118997,2013,1st owner,11000,65000
Bajaj Pulsar AS200,92074,2015,1st owner,50000,60000
Honda Activa [2000-2015],50267,2010,1st owner,50000,20000
Yamaha FZ16,78712,2011,1st owner,67000,27000
Yamaha Ray Z,52949,2015,1st owner,15500,35000
Bajaj Pulsar 180,85011,2012,1st owner,45000,35000
Bajaj Discover 150F,64071,2014,2nd owner,60855,40000
Bajaj Pulsar 135 LS,64589,2017,3rd owner,37714,56000
Bajaj Pulsar 180,85011,2008,2nd owner,60000,30000
Honda Activa 125 [2016-2017],61545,2017,1st owner,26000,40000
Hero Karizma 2014,86744,2013,1st owner,30000,40000
Royal Enfield Bullet 500,168482,2015,1st owner,34601,130000
Bajaj Pulsar AS200,92074,2015,1st owner,48000,45000
Yamaha FZ S [2012-2016],79432,2013,1st owner,60000,42000
Hero Passion X Pro [2016-2017],59095,2016,2nd owner,20000,38000
Yamaha FZ S V 2.0,84042,2015,2nd owner,17500,60000
Bajaj Avenger [2015],75502,2011,1st owner,30000,35000
Yamaha FZ16,78712,2008,1st owner,40000,25000
Hero Xtreme Sports,80350,2016,1st owner,21000,58000
Bajaj Discover 150S,63331,2014,1st owner,50000,40000
TVS Scooty Zest 110,52372,2015,1st owner,32800,28000
Bajaj Avenger Street 150 [2018],80435,2016,1st owner,32000,50000
Yamaha Cygnus Ray ZR,58630,2019,1st owner,3900,56000
Honda Activa [2000-2015],50267,2014,1st owner,10000,35000
Honda Activa i [2016-2017],53436,2017,1st owner,11000,40000
Hero Karizma 2014,86744,2014,2nd owner,51000,30000
Bajaj Discover 100 T,47032,2013,1st owner,45000,18000
Honda Aviator,59183,2008,1st owner,66000,14000
Hero Passion PRO i3s,56925,2017,1st owner,41000,50000
Hero Maestro Edge,55980,2017,1st owner,15000,40000
Honda Activa 3G,54605,2015,1st owner,20000,42000
Yamaha FZ16,78712,2009,1st owner,50000,20000
Hero Maestro Edge,52790,2017,1st owner,55000,25000
Bajaj Discover 125,60122,2016,1st owner,70350,25000
Yamaha FZ V 2.0,81508,2014,1st owner,41311,60000
Honda CBR-250R,199275,2014,1st owner,19000,100000
Honda Dream Yuga,56147,2014,1st owner,10000,35000
Yamaha FZ S V 2.0,87042,2016,1st owner,40000,50000
Hero Xpulse 200,107500,2019,1st owner,8600,90000
Bajaj V15,67187,2016,1st owner,45000,40000
Bajaj Avenger Street 220,95955,2016,1st owner,7200,80000
Honda CB Shine SP,67214,2016,1st owner,46000,50000
Honda CB Unicorn 150,74295,2014,1st owner,77592,40000
Honda CB Unicorn 150,74295,2013,1st owner,17000,50000
Hero Maestro,49412,2015,2nd owner,40000,25000
Royal Enfield Classic Desert Storm,181445,2015,2nd owner,25000,130000
Kawasaki Ninja 650 [2018-2019],599000,2017,2nd owner,13600,425000
Kawasaki Ninja 250R,317934,2010,2nd owner,21000,125000
TVS Wego,54760,2018,1st owner,10000,45000
Honda CBR-250R,171646,2014,2nd owner,18600,85000
Honda CB Shine SP,67469,2015,1st owner,25000,48000
Bajaj Avenger Street 150 [2018],80435,2016,1st owner,29689,40000
Honda CBF Stunner,58757,2014,1st owner,43000,37000
Bajaj Avenger [2015],75502,2014,2nd owner,28243,38000
Suzuki Gixxer [2014-2018],78316,2015,1st owner,25000,55000
