stt,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
1,0.0651,0.1978,0.2012,0.0686,0.353,0.4727,0.1106,0.6466,0.038,1
2,0.069,0.229,0.1084,0.0779,0.3623,0.5132,0.127,0.4055,0.0414,0
3,0.0516,0.1796,0.1867,0.052,0.4009,0.4853,0.1406,0.7582,0.0432,1
4,0.0435,0.1575,0.2435,0.0597,0.2871,0.4326,0.1067,0.4429,0.0444,0
5,0.0601,0.2269,0.2028,0.0817,0.2255,0.276,0.0965,0.5264,0.0403,0
6,0.0691,0.1557,0.1797,0.0492,0.2759,0.4397,0.1838,0.5551,0.0261,0
7,0.0965,0.2052,0.0851,0.0495,0.3865,0.3928,0.1245,0.539,0.0319,0
8,0.0843,0.1612,0.159,0.0842,0.3001,0.48,0.153,0.7148,0.0363,1
9,0.0696,0.1938,0.2741,0.1018,0.3077,0.3029,0.1589,0.7808,0.024,0
10,0.0946,0.2254,0.1222,0.0298,0.3871,0.4857,0.132,0.623,0.0285,0
11,0.047,0.1954,0.3522,0.0792,0.3353,0.5395,0.0985,0.6472,0.0348,0
12,0.0671,0.2264,0.0824,0.0769,0.2899,0.2848,0.1187,0.5188,0.0407,0
13,0.069,0.1734,0.1662,0.0635,0.3293,0.3374,0.1245,0.6016,0.0449,1
14,0.0927,0.274,0.3889,0.0805,0.2441,0.5046,0.1598,0.6232,0.0355,1
15,0.0727,0.0985,0.3649,0.0714,0.4232,0.5029,0.0736,0.7629,0.0495,0
16,0.0677,0.1689,0.1107,0.0712,0.3058,0.2895,0.1855,0.62,0.0522,0
17,0.0709,0.1399,0.1898,0.0757,0.4231,0.5283,0.1856,0.6865,0.0363,0
18,0.0494,0.1667,0.1981,0.0803,0.4262,0.352,0.155,0.6861,0.0508,1
19,0.0573,0.2237,0.0135,0.065,0.3805,0.6203,0.1467,0.6202,0.0368,1
20,0.043,0.1487,0.2664,0.0924,0.3168,0.3658,0.1252,0.5408,0.0307,0
21,0.0427,0.1995,0.2563,0.0591,0.2603,0.3006,0.122,0.5594,0.049,0
22,0.0838,0.2481,0.2782,0.071,0.3431,0.4335,0.1866,0.533,0.057,0
23,0.0796,0.1715,0.2363,0.0954,0.26,0.3276,0.1612,1.0775,0.047,1
24,0.074,0.1905,0.2256,0.0831,0.294,0.4139,0.133,0.6341,0.0499,1
25,0.0771,0.1819,0.0655,0.0539,0.3906,0.5163,0.1701,0.5824,0.0429,1
26,0.0467,0.1713,0.3568,0.0489,0.3146,0.5019,0.1421,0.5691,0.0456,1
27,0.0742,0.2204,0.1577,0.0916,0.3199,0.4633,0.1698,0.8027,0.036,0
28,0.0954,0.2241,0.3168,0.1199,0.3154,0.4938,0.1909,0.8139,0.0333,1
29,0.0985,0.2087,0.3529,0.0835,0.3372,0.4625,0.1011,0.5089,0.0452,1
30,0.0761,0.1606,0.3918,0.0783,0.3121,0.5032,0.1337,0.6202,0.0353,1
31,0.0901,0.1679,0.3487,0.0314,0.4007,0.3854,0.1657,0.5053,0.0427,0
32,0.0664,0.2024,0.1411,0.0875,0.341,0.2911,0.1595,0.6436,0.0392,1
33,0.0523,0.1271,0.0791,0.0676,0.3355,0.4753,0.1273,0.7942,0.0514,1
34,0.0748,0.2462,0.2711,0.0979,0.3412,0.3397,0.1622,0.776,0.0348,0
35,0.0781,0.2034,0.2447,0.0763,0.322,0.5167,0.1724,0.8065,0.041,0
36,0.0774,0.2078,0.3041,0.0781,0.2894,0.2737,0.1911,0.5228,0.0365,0
37,0.0592,0.1866,0.4438,0.0661,0.3416,0.2735,0.1276,0.5946,0.0422,0
38,0.0703,0.2028,0.235,0.0524,0.3356,0.4711,0.1389,0.6375,0.0599,0
39,0.0979,0.1299,0.2068,0.0939,0.292,0.4271,0.1185,0.7871,0.0295,1
40,0.059,0.2019,0.2539,0.0769,0.3137,0.4347,0.1801,0.5997,0.0459,0
41,0.0673,0.1974,0.2601,0.0695,0.3466,0.4733,0.1844,0.6947,0.0416,1
42,0.0845,0.164,0.1958,0.0643,0.3347,0.547,0.1824,0.4567,0.0522,1
43,0.0771,0.1947,0.2734,0.0763,0.3221,0.3478,0.1064,0.6372,0.0318,1
44,0.0727,0.1552,0.3116,0.0318,0.2448,0.506,0.1739,0.7312,0.0379,1
45,0.0713,0.2098,0.167,0.0746,0.3205,0.4047,0.1895,0.9235,0.0391,1
46,0.0746,0.1835,0.1473,0.0748,0.3357,0.4826,0.0896,0.8258,0.045,1
47,0.0576,0.172,0.0809,0.073,0.3301,0.4428,0.1136,0.959,0.04,1
48,0.0573,0.1918,0.359,0.0807,0.3788,0.308,0.1257,0.6019,0.0391,0
49,0.0462,0.121,0.2298,0.083,0.372,0.2606,0.1305,0.6655,0.0342,0
50,0.0763,0.1997,0.1631,0.099,0.3586,0.4205,0.1054,1.0024,0.0293,0
51,0.067,0.2073,0.1725,0.0771,0.3045,0.3293,0.1622,0.2888,0.0344,1
52,0.0433,0.1922,0.3059,0.0743,0.3273,0.5437,0.1119,0.7257,0.0371,0
53,0.0814,0.2206,0.2011,0.0745,0.3549,0.3668,0.1972,0.5372,0.0462,1
54,0.0776,0.2062,0.3425,0.0793,0.2991,0.3472,0.1935,0.8062,0.0459,1
55,0.0623,0.1699,0.2255,0.0497,0.2974,0.4604,0.2079,0.933,0.0401,1
