stt,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
1,6.509621638,197.7595026,20122.19256,6.862782054,353.0119744,472.7093809,11.0588185,64.66330907,3.802819638,1
2,6.904121373,228.9604179,10836.96978,7.792593267,362.2965521,513.1888415,12.70446004,40.54603685,4.141819203,0
3,5.161878763,179.6364093,18666.56364,5.196132621,400.8960233,485.3119536,14.05970778,75.82204966,4.320100541,1
4,4.349439999,157.5133609,24352.0661,5.96772234,287.0451104,432.642307,10.66725445,44.28901265,4.442711502,0
5,6.006769481,226.8740986,20279.70104,8.166416283,225.5166278,275.9865953,9.650786456,52.64002548,4.034754809,0
6,6.912607562,155.7404952,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,55.50746847,2.612248953,0
7,9.652562935,205.2060586,8508.15373,4.945416599,386.5411847,392.7674528,12.44653913,53.89803657,3.192569799,0
8,8.433290824,161.195283,15904.24336,8.423765853,300.1190004,479.9959053,15.30375478,71.47850077,3.631542932,1
9,6.9641983,193.7532798,27408.49933,10.1846046,307.6945221,302.9404332,15.88964959,78.07673798,2.395683182,0
10,9.462666017,225.399307,12224.6246,2.981378966,387.0987201,485.6972741,13.2043938,62.29769896,2.850183766,0
11,4.700392724,195.3528073,35216.53427,7.91908316,335.2793762,539.4646482,9.852784882,64.72133077,3.481943696,0
12,6.709336439,226.4275859,8238.290038,7.692413006,289.9213805,284.7744589,11.86848044,51.87520737,4.074387228,0
13,6.897922717,173.3909282,16616.51662,6.352933531,329.3397676,337.4360877,12.44697563,60.15941277,4.490105279,1
14,9.271578533,274.0213909,38886.38768,8.045991283,244.0862569,504.6167925,15.98106765,62.32004847,3.54960841,1
15,7.266598792,98.45293051,36490.14303,7.138813886,423.1874849,502.8830673,7.360771583,76.29028546,4.952733208,0
16,6.769572869,168.9370725,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,62.00157128,5.22054027,0
17,7.094830834,139.9068664,18975.64349,7.571951408,423.0459738,528.2665235,18.55617661,68.64858169,3.628459629,0
18,4.941972157,166.7104405,19806.4113,8.031864863,426.1575186,352.0390921,15.49688693,68.60840187,5.076146746,1
19,5.731042139,223.7049656,1351.906979,6.496722628,380.5140788,620.3046389,14.6729271,62.02362962,3.675807027,1
20,4.301373467,148.7377009,26640.07219,9.242652787,316.7644065,365.8353748,12.51573371,54.08228912,3.067626699,0
21,4.26526964,199.4994515,25634.53328,5.914884438,260.2612056,300.5479288,12.1987325,55.94236583,4.900446069,0
22,8.376279725,248.1328614,27824.19048,7.100523371,343.0579753,433.4498994,18.65888632,53.30375957,5.703962807,0
23,7.958984292,171.4836247,23625.81389,9.537735147,259.9799662,327.623881,16.11711046,107.7540426,4.698007916,1
24,7.395450847,190.4778917,22561.50831,8.310194998,294.0303949,413.910293,13.30137364,63.41017814,4.990235633,1
25,7.710959939,181.9381256,6552.626314,5.389248621,390.596392,516.2840829,17.01078491,58.24173419,4.28894682,1
26,4.666148131,171.2887001,35680.06788,4.894373617,314.6138512,501.9028641,14.21062445,56.91025406,4.556863752,1
27,7.421997644,220.3853144,15772.65317,9.157615312,319.9129388,463.2969139,16.98166011,80.26935417,3.603609581,0
28,9.54025224,224.0545823,31683.86459,11.99429022,315.359085,493.836379,19.09359914,81.39372182,3.329503899,1
29,9.850054687,208.740232,35289.23711,8.350110052,337.2097419,462.4801989,10.10514594,50.88600603,4.521836127,1
30,7.607223911,160.565253,39184.84672,7.826411049,312.0560665,503.1580785,13.36699449,62.02230789,3.525027131,1
31,9.011480407,167.9189217,34865.35768,3.139552658,400.6917743,385.4096085,16.57419003,50.52655122,4.270801389,0
32,6.643734376,202.4136379,14110.92097,8.754110049,340.9755587,291.0847438,15.95465453,64.36379306,3.920607408,1
33,5.226895232,127.1175552,7907.330441,6.761928511,335.461842,475.3323571,12.7250097,79.42001294,5.13805579,1
34,7.47640846,246.1847192,27109.89561,9.791960768,341.1636312,339.7299878,16.21767979,77.60302139,3.47819378,0
35,7.814250247,203.3834632,24470.20426,7.631406985,321.9745697,516.6468167,17.24290912,80.65197814,4.104661963,0
36,7.739325711,207.7643262,30412.37233,7.813966644,289.4136361,273.6971392,19.11338156,52.28110428,3.645785495,0
37,5.924540482,186.6200684,44376.18738,6.614180463,341.6377735,273.4468382,12.75811532,59.45669089,4.224342509,0
38,7.025305942,202.809081,23502.8578,5.2390132,335.5487189,471.1317159,13.89151934,63.75185484,5.989542791,0
39,9.794558699,129.8709584,20682.73174,9.390842593,291.9800835,427.1239484,11.85322809,78.71146943,2.945418738,1
40,5.903465715,201.8640323,25394.10472,7.692154202,313.6480717,434.7197472,18.00670264,59.97215953,4.587086719,0
41,6.727185265,197.439216,26012.48875,6.952008033,346.6287352,473.3300783,18.43783528,69.46628908,4.158248535,1
42,8.447404488,163.9499045,19583.05735,6.433183888,334.6558859,547.0238303,18.23871124,45.66831799,5.21830711,1
43,7.71408936,194.7382822,27336.96262,7.631357066,322.0729563,347.8292033,10.64178919,63.72293291,3.182582857,1
44,7.269652253,155.1575203,31161.36839,3.181183291,244.7951979,506.0101352,17.38551498,73.11505279,3.789236757,1
45,7.125211076,209.7467712,16701.56598,7.45874145,320.5009449,404.7045963,18.95279673,92.34737526,3.908075346,1
46,7.457979827,183.4613095,14733.45876,7.475273364,335.6680457,482.6371798,8.963253883,82.58133835,4.497730796,1
47,5.756475689,171.9718037,8086.825999,7.304628015,330.1337768,442.7587559,11.36475106,95.89849469,4.002081517,1
48,5.726336216,191.7522897,35899.28031,8.066654024,378.7746046,307.9875511,12.56872068,60.19235078,3.912289082,0
49,4.624304291,121.0363186,22981.74941,8.297074094,372.0373589,260.5661636,13.05403007,66.55346544,3.424250049,0
50,7.633570088,199.6529996,16312.15497,9.900546897,358.5662821,420.5341718,10.53939227,100.242706,2.927066767,0
51,6.702546553,207.3210857,17246.92035,7.708116998,304.5102301,329.2660018,16.21730295,28.87860134,3.442983035,1
52,4.328282516,192.166324,30592.54883,7.42589408,327.3033652,543.7160286,11.18693881,72.5664004,3.708525863,0
53,8.142660401,220.6309721,20111.22595,7.446877056,354.8971312,366.8024836,19.72128766,53.71936605,4.617093489,1
54,7.760189365,206.2088341,34250.16392,7.930381857,299.1315985,347.1807804,19.35076512,80.62187235,4.590527649,1
55,6.227826795,169.9262216,22550.49226,4.973592706,297.4044974,460.4153864,20.78959171,93.3007329,4.007347485,1
